gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,Yes,Yes,No,33,Yes,No phone service,No,No,Yes,Yes,No,No,Yes,One year,No,Mailed check,109.67,3085.29,Yes
Male,Yes,No,Yes,6,Yes,No phone service,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),103.17,7988.39,No
Female,Yes,No,Yes,5,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),107.72,330.43,No
Male,No,Yes,No,49,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,One year,No,Electronic check,97.03,1509.96,Yes
Female,No,Yes,No,6,No,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.58,2037.2,No
Female,No,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Electronic check,32.15,2489.35,Yes
Female,Yes,No,Yes,53,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,108.55,4958.46,Yes
Female,Yes,Yes,Yes,40,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Mailed check,53.71,8231.13,Yes
Female,No,No,Yes,70,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,71.48,488.23,Yes
Female,Yes,No,No,37,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),27.12,5253.21,No
Male,Yes,No,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,57.2,2222.58,Yes
Female,Yes,Yes,No,66,Yes,Yes,No,No,No,Yes,No,No,No,One year,Yes,Mailed check,21.9,1190.4,Yes
Male,Yes,No,No,33,Yes,Yes,No,No,No,No,Yes,No,No,One year,No,Electronic check,22.58,1967.67,Yes
Male,Yes,No,No,49,No,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),27.15,6989.14,Yes
Male,No,No,No,42,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),111.5,9159.04,Yes
Female,Yes,No,Yes,11,Yes,No phone service,No,No,No,No,No,No,Yes,One year,No,Electronic check,84.85,4117.7,No
Male,No,Yes,Yes,64,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,33.07,5175.23,Yes
Male,No,No,Yes,14,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,41.97,4224.69,Yes
Male,No,Yes,Yes,18,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Mailed check,57.22,5725.69,Yes
Female,No,Yes,No,24,Yes,No phone service,No,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,109.2,4627.77,No
Male,No,No,No,67,No,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),112.04,5615.62,No
Female,No,No,Yes,46,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),111.28,1794.44,Yes
Female,Yes,No,Yes,17,No,No phone service,No,Yes,No,No,No,No,No,One year,No,Electronic check,63.12,4900.52,Yes
Male,Yes,Yes,Yes,47,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,62.67,8656.88,Yes
Female,No,No,Yes,51,No,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Mailed check,89.69,8578.11,No
Male,No,Yes,Yes,33,No,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,22.51,6230.4,No
Female,No,No,Yes,54,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),45.92,9921.1,No
Male,Yes,Yes,No,67,Yes,No,No,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),97.56,7183.17,Yes
Female,Yes,No,No,62,Yes,No phone service,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,91.9,3893.41,No
Male,Yes,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,42.23,3889.48,Yes
Female,No,No,No,10,No,No phone service,No,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,89.56,4497.05,No
Female,No,Yes,No,38,Yes,Yes,No,No,No,No,No,No,Yes,Two year,Yes,Mailed check,77.16,5124.93,Yes
Male,Yes,Yes,Yes,21,No,Yes,No,No,Yes,No,No,Yes,Yes,One year,No,Electronic check,30.92,2355.54,Yes
Female,Yes,Yes,No,37,No,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),109.08,9910.72,No
Female,Yes,Yes,Yes,4,No,Yes,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,74.18,1610.89,No
Male,No,Yes,No,13,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,No,Electronic check,57.83,2186.64,Yes
Male,No,No,No,25,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),107.91,4821.19,Yes
Female,Yes,Yes,No,13,No,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),50.54,268.7,Yes
Female,Yes,Yes,No,11,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),118.7,5017.18,Yes
Female,No,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),25.55,599.52,Yes
Female,Yes,Yes,Yes,68,No,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,35.17,1959.6,No
Male,Yes,No,Yes,56,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),102.18,397.85,Yes
Female,Yes,Yes,No,45,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),68.98,8445.09,No
Female,No,No,No,26,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),45.9,6661.25,Yes
Female,No,No,No,20,No,No phone service,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),48,8721.19,No
Female,No,No,No,6,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,80.8,9498.98,No
Female,No,No,No,3,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),21.92,606.58,Yes
Female,Yes,No,Yes,42,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),82.04,1035.77,Yes
Female,Yes,Yes,No,17,No,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),81.48,9974.2,Yes
Male,Yes,No,No,4,No,No phone service,No,No,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),99.28,8653,No
Male,No,Yes,Yes,67,Yes,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),95.81,5230.83,No
Male,Yes,No,Yes,35,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Credit card (automatic),47.06,1630.29,No
Male,Yes,No,No,52,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),111.23,4565.24,No
Female,No,Yes,No,13,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,66.88,5397.38,Yes
Male,Yes,No,No,18,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),88.35,4570.4,Yes
Male,No,Yes,Yes,30,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),43.86,9191.23,No
Female,No,No,Yes,30,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,93.94,2854.93,Yes
Male,Yes,Yes,No,65,No,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),108.7,3828.83,Yes
Male,Yes,Yes,No,46,No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Mailed check,103.01,1359.71,Yes
Female,No,No,Yes,19,No,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,101.94,929.99,No
Female,Yes,Yes,No,28,Yes,Yes,No,No,No,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),31.2,9070.32,Yes
Male,No,Yes,No,17,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),117.14,2613.93,No
Female,Yes,Yes,No,13,No,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),95.72,6195.22,No
Female,Yes,No,No,10,Yes,No,No,No,No,Yes,No,No,No,One year,Yes,Mailed check,61.79,9664.05,No
Male,Yes,No,Yes,2,No,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),97.82,1723.28,Yes
Male,Yes,Yes,Yes,32,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),42.11,4873.98,No
Female,No,No,Yes,41,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,38.83,5413.49,Yes
Male,Yes,No,No,11,No,No,No,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),37.17,1885.15,No
Male,No,No,Yes,54,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,38.12,6318.92,No
Female,Yes,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,96.51,6481.03,Yes
Female,No,No,Yes,44,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),110.96,533.05,Yes
Female,Yes,No,No,5,Yes,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,118.84,1636.86,Yes
Female,No,No,No,12,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),107.04,1868.37,No
Male,Yes,Yes,No,19,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,100.5,8627.34,Yes
Female,No,No,No,71,No,No phone service,No,No,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,111.53,1765.57,Yes
Male,Yes,Yes,No,7,No,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Electronic check,104.04,3519.07,No
Male,Yes,Yes,No,18,No,No,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),87.47,2626.77,No
Male,No,Yes,No,56,No,No phone service,No,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),61.13,7587.26,No
Female,No,Yes,Yes,61,Yes,No,No,No,Yes,No,No,No,No,One year,No,Mailed check,31.98,3333.24,No
Female,Yes,No,Yes,70,No,No phone service,No,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,106.25,9936.17,No
Male,Yes,No,No,30,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),65.95,1017.22,No
Female,No,Yes,No,42,No,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.8,2021.78,Yes
Female,No,No,No,7,Yes,No,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),26.18,1133.72,No
Male,Yes,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),55.8,4937.41,No
Male,No,Yes,No,11,No,No phone service,No,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,49.66,2787.83,Yes
Female,Yes,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),67.66,3046.41,Yes
Male,No,No,Yes,70,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,62.67,8211.44,No
Male,No,No,Yes,72,No,Yes,No,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,81.68,2502.15,Yes
Male,Yes,Yes,No,52,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),45.2,7626.99,Yes
Female,No,No,No,41,No,No,No,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),63.19,8671.62,No
Male,No,Yes,No,45,No,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,88.91,8794.43,Yes
Male,No,No,Yes,39,No,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),79.92,5979.03,Yes
Female,Yes,No,Yes,59,No,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.91,5655.15,No
Male,Yes,No,No,11,Yes,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),61.75,3039.9,Yes
Female,No,No,No,35,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),20.89,2516.8,No
Female,No,Yes,No,23,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,57.07,1150.76,No
Female,No,No,No,65,No,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),88.73,7052.01,No
Female,Yes,Yes,Yes,24,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),118.86,2804.79,Yes
Female,No,Yes,No,58,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,One year,No,Mailed check,21.03,2392.52,No
Female,No,Yes,No,15,Yes,No,No,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),99.51,4418.22,No
Female,Yes,No,No,70,Yes,No phone service,No,No,Yes,No,No,Yes,Yes,Two year,No,Credit card (automatic),106.24,8467.51,No
Female,Yes,Yes,No,36,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Credit card (automatic),20.95,2843.07,No
Female,Yes,No,No,69,No,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),68.43,925.15,No
Male,Yes,No,No,52,No,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),38.56,9575.89,Yes
Male,Yes,No,No,72,No,Yes,No,No,Yes,No,No,Yes,No,One year,No,Bank transfer (automatic),110.05,4147.03,No
Male,No,No,Yes,65,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Electronic check,23.17,6023.04,No
Male,No,No,Yes,52,No,No phone service,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),71.94,4362.02,Yes
Male,No,No,Yes,34,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),100.73,4868.09,Yes
Female,No,Yes,No,42,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),72.4,5639.91,No
Male,No,Yes,No,41,No,No phone service,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),58.36,4066.8,No
Female,Yes,Yes,No,61,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,42.02,7367.51,Yes
Male,Yes,Yes,No,67,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),87.9,4053.54,Yes
Female,No,Yes,No,14,Yes,No,No,No,Yes,No,No,No,No,Two year,Yes,Electronic check,39.57,3678.84,Yes
Male,Yes,No,No,39,Yes,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Mailed check,32.81,7710.47,Yes
Male,No,No,Yes,7,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),60.54,9807.45,No
Female,Yes,Yes,No,36,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),59.75,4232.93,No
Female,No,Yes,Yes,46,No,No,No,No,Yes,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),30.37,8693.16,No
Female,No,No,Yes,35,No,No,DSL,No,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),92.19,8954.85,Yes
Female,Yes,Yes,Yes,21,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Electronic check,92.85,6257.45,Yes
Male,Yes,No,Yes,22,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,29.3,877.79,Yes
Female,Yes,Yes,Yes,11,No,No phone service,No,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),49.01,8052.93,No
Male,Yes,No,No,53,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,66.92,354.93,Yes
Female,Yes,Yes,No,14,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,48.22,7917.39,Yes
Male,No,No,Yes,37,No,No phone service,No,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),51.38,9221.79,No
Female,Yes,Yes,Yes,44,Yes,No,No,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,110.07,1706.92,No
Female,Yes,Yes,No,21,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,41.47,185.49,No
Male,No,No,No,29,No,No,No,No,No,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),59.94,6425.69,No
Female,No,No,No,61,No,No phone service,No,Yes,Yes,Yes,No,No,Yes,Two year,No,Credit card (automatic),36.79,3157.77,Yes
Female,Yes,No,Yes,67,No,No phone service,No,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,59.47,9855.32,Yes
Male,No,No,No,21,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),94.36,4996.74,No
Male,No,Yes,Yes,51,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,52.39,6946.78,Yes
Male,Yes,No,No,12,No,Yes,No,Yes,Yes,No,Yes,No,No,Two year,Yes,Mailed check,71.4,2648.79,No
Male,No,No,Yes,15,No,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Electronic check,93.73,5718.47,Yes
Male,Yes,Yes,No,57,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,80.42,3170.4,No
Female,Yes,No,Yes,29,No,No phone service,No,Yes,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,63.16,3626.94,Yes
Female,No,Yes,No,34,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,22.46,6536.35,Yes
Male,Yes,No,No,5,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Electronic check,77.93,6124.26,Yes
Female,Yes,Yes,No,47,Yes,No phone service,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,36.34,6057.64,Yes
Female,Yes,No,Yes,70,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,48.72,8990.96,Yes
Male,Yes,No,No,55,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,No,Electronic check,76.08,1048.23,No
Female,Yes,Yes,Yes,52,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),101.53,7653.86,Yes
Female,Yes,No,No,13,No,No phone service,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),58.58,7286.9,Yes
Male,No,Yes,No,18,No,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),106.62,9063.42,No
Female,No,Yes,No,24,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),63.2,8639.79,Yes
Female,Yes,No,Yes,48,Yes,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,57.8,7064.61,No
Female,No,No,Yes,43,Yes,No,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),21.48,6571.29,Yes
Female,No,Yes,Yes,36,No,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),61.72,156.09,Yes
Female,Yes,Yes,Yes,56,Yes,No phone service,DSL,No,No,No,Yes,No,No,One year,Yes,Electronic check,84.06,5538.53,Yes
Female,No,No,Yes,32,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),110.42,6238.66,Yes
Female,Yes,No,No,65,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,33.36,5928.67,No
Female,No,Yes,No,23,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,No,Electronic check,49.54,5972.21,Yes
Female,Yes,Yes,Yes,18,Yes,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Electronic check,70.36,3980.14,No
Male,Yes,Yes,No,21,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),73.51,6548.34,Yes
Female,Yes,No,Yes,39,Yes,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Bank transfer (automatic),64.94,181.45,Yes
Male,Yes,Yes,Yes,18,No,Yes,No,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),63.63,7862.71,No
Male,Yes,Yes,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,81.22,3488.06,No
Male,No,No,No,44,Yes,No phone service,No,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,73.1,5117.52,No
Male,Yes,No,Yes,36,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),58.05,5497.96,Yes
Female,No,Yes,Yes,39,No,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),52.33,3272.93,No
Male,Yes,No,Yes,28,Yes,No phone service,No,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),77.59,6859.34,No
Male,No,No,No,54,No,No phone service,No,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),75.68,1453.23,No
Female,Yes,Yes,Yes,52,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,39.36,3099.48,No
Male,No,No,No,11,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),110.84,8432.22,Yes
Female,No,No,Yes,61,No,No phone service,No,No,No,No,No,Yes,Yes,Two year,No,Electronic check,20.77,3761.18,No
Male,No,No,No,30,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,9529.05,No
Female,No,Yes,Yes,1,No,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,51.85,6816.19,No
Male,No,Yes,No,65,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,101.69,9550.68,Yes
Male,Yes,No,No,42,No,Yes,No,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),97.73,1156.46,Yes
Male,Yes,Yes,Yes,66,No,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,45.65,2289.31,No
Male,No,No,No,56,Yes,No,No,Yes,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,111.03,5477.97,No
Female,Yes,No,Yes,64,No,No,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,67.87,5792.29,Yes
Male,No,Yes,No,41,No,Yes,No,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),113.03,5671.81,No
Male,Yes,Yes,Yes,47,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),20.7,6498.93,No
Male,No,No,No,39,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Two year,Yes,Mailed check,111.03,2529.75,No
Male,No,Yes,Yes,72,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,90.73,9600.66,No
Female,Yes,Yes,No,30,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),36.99,8975.44,Yes
Male,No,No,No,54,No,No,No,Yes,No,No,No,Yes,Yes,Two year,Yes,Mailed check,54.48,3428.26,No
Male,No,No,No,38,Yes,No,No,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),115.22,8771.32,Yes
Female,Yes,Yes,No,53,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),70.34,7789.43,Yes
Female,Yes,No,Yes,56,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,34.72,1954.59,Yes
Female,No,Yes,No,25,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),66.3,6997.18,No
Female,Yes,No,No,48,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,29.29,4449.14,No
Male,No,Yes,No,37,No,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),90.08,7682.24,Yes
Male,Yes,Yes,Yes,71,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),38.55,8630.01,Yes
Female,Yes,Yes,No,23,Yes,No phone service,No,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,115.76,3571.75,No
Male,Yes,Yes,Yes,13,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),85.73,7408.83,Yes
Male,No,Yes,Yes,33,No,No phone service,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Credit card (automatic),53.31,811.75,Yes
Female,No,Yes,No,1,Yes,No phone service,No,Yes,Yes,Yes,No,No,Yes,One year,Yes,Electronic check,82.83,3857.97,No
Male,No,No,Yes,60,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,34.93,2854.74,Yes
Female,No,Yes,Yes,12,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),58.76,5170.87,Yes
Female,No,Yes,No,13,No,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,89,8987.26,Yes
Male,No,Yes,Yes,7,No,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),27.35,2970.15,Yes
Female,Yes,No,No,57,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,75.03,8341.91,No
Female,Yes,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,94.45,1851.99,Yes
Male,No,No,No,71,No,No phone service,No,No,No,No,No,Yes,No,One year,No,Bank transfer (automatic),39.36,959.76,No
Male,No,No,Yes,3,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),108.13,6999.4,Yes
